Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.7602862254025045,0.2562988705473501,0.7824933687002652,0.38612565445026176
Decision Tree,0.8190646562739586,0.2368839427662957,0.3952254641909814,0.2962226640159046
SVM,0.8737541528239202,0.35555555555555557,0.3819628647214854,0.36828644501278773
Neural Network,0.8596984410937899,0.30275229357798167,0.35013262599469497,0.3247232472324723
